Date,Close,Type,Symbol
2019-07-01,103.54000091552734,Historical,ALLE
2019-08-01,96.2699966430664,Historical,ALLE
2019-09-01,103.6500015258789,Historical,ALLE
2019-10-01,116.04000091552734,Historical,ALLE
2019-11-01,120.02999877929688,Historical,ALLE
2019-12-01,124.54000091552734,Historical,ALLE
2020-01-01,129.32000732421875,Historical,ALLE
2020-02-01,114.98999786376952,Historical,ALLE
2020-03-01,92.0199966430664,Historical,ALLE
2020-04-01,100.54000091552734,Historical,ALLE
2020-05-01,99.6999969482422,Historical,ALLE
2020-06-01,102.22000122070312,Historical,ALLE
2020-07-01,99.45999908447266,Historical,ALLE
2020-08-01,103.38999938964844,Historical,ALLE
2020-09-01,98.91000366210938,Historical,ALLE
2020-10-01,98.5,Historical,ALLE
2020-11-01,114.04000091552734,Historical,ALLE
2020-12-01,116.37999725341795,Historical,ALLE
2021-01-01,107.01000213623048,Historical,ALLE
2021-02-01,108.77999877929688,Historical,ALLE
2021-03-01,125.62000274658205,Historical,ALLE
2021-04-01,134.3800048828125,Historical,ALLE
2021-05-01,140.47999572753906,Historical,ALLE
2021-06-01,139.3000030517578,Historical,ALLE
2021-07-01,136.60000610351562,Historical,ALLE
2021-08-01,143.99000549316406,Historical,ALLE
2021-09-01,132.17999267578125,Historical,ALLE
2021-10-01,128.3000030517578,Historical,ALLE
2021-11-01,123.63999938964844,Historical,ALLE
2021-12-01,132.44000244140625,Historical,ALLE
2022-01-01,122.7300033569336,Historical,ALLE
2022-02-01,114.5199966430664,Historical,ALLE
2022-03-01,109.77999877929688,Historical,ALLE
2022-04-01,114.23999786376952,Historical,ALLE
2022-05-01,111.6500015258789,Historical,ALLE
2022-06-01,97.9000015258789,Historical,ALLE
2022-07-01,105.6999969482422,Historical,ALLE
2022-08-01,95.0999984741211,Historical,ALLE
2022-09-01,89.68000030517578,Historical,ALLE
2022-10-01,104.7699966430664,Historical,ALLE
2022-11-01,113.6500015258789,Historical,ALLE
2022-12-01,105.26000213623048,Historical,ALLE
2023-01-01,117.5500030517578,Historical,ALLE
2023-02-01,112.70999908447266,Historical,ALLE
2023-03-01,106.7300033569336,Historical,ALLE
2023-04-01,110.4800033569336,Historical,ALLE
2023-05-01,104.73999786376952,Historical,ALLE
2023-06-01,120.0199966430664,Historical,ALLE
2023-07-01,116.86000061035156,Historical,ALLE
2023-08-01,113.80999755859376,Historical,ALLE
2023-09-01,104.1999969482422,Historical,ALLE
2023-10-01,98.36000061035156,Historical,ALLE
2023-11-01,106.08999633789062,Historical,ALLE
2023-12-01,126.69000244140624,Historical,ALLE
2024-01-01,123.88999938964844,Historical,ALLE
2024-02-01,127.87000274658205,Historical,ALLE
2024-03-01,134.7100067138672,Historical,ALLE
2024-04-01,121.55999755859376,Historical,ALLE
2024-05-01,121.81999969482422,Historical,ALLE
2024-06-01,117.30999755859376,Historical,ALLE
2024-07-01,120.48626003747454,Forecast,ALLE
2024-08-01,120.7223491762292,Forecast,ALLE
2024-09-01,118.26766153495831,Forecast,ALLE
2024-10-01,124.3982736031705,Forecast,ALLE
2024-11-01,123.38280272061454,Forecast,ALLE
2024-12-01,118.06404601615213,Forecast,ALLE
